HALLMARK_ADIPOGENESIS	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANGIOGENESIS	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_APOPTOSIS	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_COAGULATION	HALLMARK_COMPLEMENT	HALLMARK_DNA_REPAIR	HALLMARK_E2F_TARGETS	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_G2M_CHECKPOINT	HALLMARK_GLYCOLYSIS	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEME_METABOLISM	HALLMARK_HYPOXIA	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_MITOTIC_SPINDLE	HALLMARK_MTORC1_SIGNALING	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_MYOGENESIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_P53_PATHWAY	HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PEROXISOME	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PROTEIN_SECRETION	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_SPERMATOGENESIS	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_UP	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_XENOBIOTIC_METABOLISM
ADCY6	BCL10	ANKH	JAG1	ADAM15	CD160	BCL10	ABCD2	ANXA5	ARF4	APOC1	ARL6IP1	BRCA1	BMP1	ALDH3B1	ANXA9	ACOT2	BIRC5	ALDOA	ETS2	AHSP	ANGPTL4	APLP1	CD38	APLNR	CD74	BST2	ASB7	ALDH1A2	ARAP3	ALDOA	CBX3	GNL3	AEBP1	FZD1	AIFM1	APAF1	GCG	ACOT8	ARPC3	ARCN1	GCLC	ALOX15	CDKN1C	BCL6	CALR	ANXA4	ARRB2	DLL1	ACP2
ADIG	BCL3	APPBP2	JAG2	ADAM23	CROCC	BCL2L1	ABCD3	ATF3	BMP1	ATOX1	BCAM	BRCA2	CADM1	AMFR	AREG	ACOT8	BRCA2	ALDOB	GLI1	ALAD	ANKZF1	ARL4A	CD44	AQP9	CMPK2	BTG1	ATP4A	ALDH1A3	ARF6	ARPC5L	CCNA2	GRWD1	AGL	FZD5	ALAS1	APP	GCK	ACOX1	ATF1	ARF1	GCLM	ARL4A	CTNNB1	BHLHE40	CCL2	APBB2	ASNS	DVL2	ACSM1
ADIPOQ	BRCA1	ARID5B	KCNJ8	ADAM9	CRYBG1	BCL2L10	ABCG4	ATF5	C1QA	BRPF3	BCAP31	BRMS1L	CALD1	ANXA9	ARL3	ACOX1	BUB1	ALG1	HEY1	ALAS2	ANXA2	BATF	CD9	ATP2A2	CMTR1	C1R	ATP6V1B1	AMMECR1	ARFGEF1	ASNS	CCT2	HK2	AGRN	FZD7	ALDH6A1	ATF3	HNF1A	ACSL1	CAB39	ARFGAP3	GLRX	ART3	ENG	BIRC2	CEBPB	ARHGEF9	ATF3	FRAT1	ADH1C
ADIPOR2	C2	AZGP1	LPL	ADAMTS5	CX3CL1	BCL2L11	ABCG8	ATXN2	C1R	C1QA	BOLA2	BUB1B	CALU	AQP3	ASCL1	ACSL1	BUB3	ANG	HEY2	ALDH1L1	ATF3	BATF3	CNTFR	ATP2B1	CNP	C1S	BARD1	ANGPTL4	ARFIP2	ATP2A2	CCT3	HSPD1	AK1	HES1	ATP1B1	BAIAP2	IAPP	ACSL4	CAB39L	ARFGEF1	GLRX2	AURKA	FKBP1A	BIRC3	CEBPG	ATP2B1	ATP6V1C1	FZD1	ADH5
AGPAT3	CAPG	B2M	LRPAP1	ADRA1B	DCBLD2	BCL2L2	ACSL1	AVPR1A	C1S	C1QC	BRF2	CBX5	CAP2	AR	ASS1	ACSL4	CASP8AP2	ANGPTL4	L1CAM	ALDH6A1	ATP7A	BCL2	CRLF2	ATP2C1	CSF1	CASP1	BMPR1B	ANKH	ARHGAP10	ATP5MC1	CCT4	HSPE1	AKT2	HEYL	ATP5F1A	BAK1	INS	ACSL5	CALR	ARFGEF2	GPX3	BRAF	FNTA	BMP2	CHAC1	ATP2B4	ATP6V1F	FZD8	ADH7
AIFM1	CARTPT	B4GALT1	LUM	AKT2	EFNA5	BGN	ACSL5	CBS	C2	C1R	CANT1	CCNB2	CAPG	AREG	ATP2B4	ACSL5	CBX1	ANKZF1	LDB1	ANK1	B3GALT6	BCL2L1	CSF1	AXL	CXCL10	CASP3	BRDT	ANO1	ARHGAP27	ATP6V1D	CCT5	IMP4	ANKRD2	JAG1	ATP5F1B	BAX	INSM1	ALB	CAMK4	ARFIP1	GPX4	BUB1	FURIN	BTG1	CKS1B	ATP2C1	BAK1	GNAI1	AHCY
AK2	CCL11	BMPR1B	MSX1	AKT3	EPHB4	BID	AGXT	CD9	C3	C1S	CCNO	CCNE1	CCN1	ARL3	BAG1	ACSM3	CCNA2	ARPP19	MYH9	AQP3	B4GALNT2	BHLHE40	CSF2	BDKRB1	CXCL11	CASP4	BTG2	ANXA10	ARHGAP29	AURKA	CCT7	IPO4	APLNR	KAT2A	ATP5F1C	BLCAP	ISL1	ALDH1A1	CDK1	ATP1A1	GSR	CAMK4	HDAC1	BTG2	CNOT2	ATRN	BCL2L11	HDAC11	AKR1C2
ALDH2	CCL13	CAMKK2	NRP1	ALOX15B	FLOT2	BIK	AKR1D1	CHKA	C8A	C2	CDA	CCP110	CCN2	ASB13	BATF	ACSS1	CCNB2	ARTN	NF1	ARHGEF12	BCAN	BMP2	CSF2RA	BEST1	DDX60	CASP7	C5	APOD	ARHGAP4	BCAT1	CDC20	LAS1L	APOD	LFNG	ATP5F1D	BMP2	LMO2	ALDH9A1	CDK2	ATP6V1B1	HHEX	CCNA1	HIPK2	BTG3	CNOT4	ATRX	BID	HDAC2	AKR1C3
ALDOA	CCL19	CCND1	OLR1	AMH	GAS1	BIRC3	ALDH1A1	CLU	C8B	C3	CETN2	CDC20	CD44	B4GALT1	BCL2	ADH1C	CCND1	AURKA	NKX6-1	ARL2BP	BCL2	BMPR2	CSF2RB	BST2	DHX58	CASP8	CACNA1F	ARG1	ARHGAP5	BHLHE40	CDC45	MAP3K6	APP	MAML2	ATP5F1E	BTG1	MAFB	ATXN1	CDK4	ATP6V1H	HMOX2	CCNB2	ID1	CCL2	CNOT6	ATXN1	BMP2	HDAC5	ALAS1
ANGPT1	CCL2	CCND3	PDGFA	AMIGO1	GATA3	BMF	ALDH8A1	CPEB2	C8G	C4BPB	CLP1	CDC25A	CD59	BAG1	BLVRB	ADH7	CCNF	B3GALT6	NRCAM	ASNS	BGN	CA2	CSF3R	BTG2	EIF2AK2	CCL2	CACNG1	ATG10	ARHGDIA	BTG2	CDK2	MCM4	ATP2A1	NOTCH1	ATP5MC1	BTG2	NEUROD1	BCL10	CDKN1A	ATP7A	IPCEF1	CCT6B	ID2	CCL20	CXXC1	BCKDHB	BSG	HEY1	ALDH2
ANGPTL4	CCL22	CDC14B	PF4	AMIGO2	GHRL	BMP2	ALDH9A1	CTNNB1	C9	C9	CMPK2	CDC25B	CDH11	BCL11B	BTG3	ADIPOR2	CCNT1	B3GAT1	NRP1	ATG4A	BHLHE40	CAPG	CXCL1	C3AR1	ELF1	CCL5	CALCB	AVL9	ARHGEF11	BUB1	CDK4	MCM5	ATP6AP1	NOTCH2	ATP5MC2	CASP1	NEUROG3	CACNA1B	CDKN1B	BET1	JUNB	CDK1	ID3	CCL4	DCP1A	BDNF	BTG1	HEY2	ALDH3A1
